Ürün Adı,Ürün Kodu,Fiyat (USD),CAS Numarası,Marka
"PERİSTALTİK POMPA - 0.00034-570 ml/dk","BPP-LabM1","2030","",Biobase
"PERİSTALTİK POMPA - 0.035-1330 ml/dk","BPP-LabM3","1770","",Biobase
"PERİSTALTİK POMPA - 0.035-2280 ml/dk","BPP-LabM6","2700","",Biobase
"PERİSTALTİK POMPA - 0.000067-570 ml/dk","BPP-LabN1","1850","",Biobase
"PERİSTALTİK POMPA - 0.007-1330 ml/dk","BPP-LabN3","1850","",Biobase
"PERİSTALTİK POMPA - 0.007-2280 ml/dk","BPP-LabN6","2770","",Biobase
"PERİSTALTİK POMPA - 0.211-3600 ml/dk","SPP-N6-3L","1880","",Biobase
"PERİSTALTİK POMPA - 0.3-6000 ml/dk","SPP-N6-6L","2120","",Biobase
"PERİSTALTİK POMPA - 0.69-12000 ml/dk","SPP-N6-12L","3490","",Biobase
"PERİSTALTİK POMPA - 0.00067-900 ml/dk","BPP-BT100M","1840","",Biobase
"PERİSTALTİK POMPA - 0.00067-2100 ml/dk","BPP-BT300M","1590","",Biobase
"PERİSTALTİK POMPA - 0.00067-3600 ml/dk","BPP-BT600M","2480","",Biobase
"PERİSTALTİK POMPA - 0.00034-570 ml/dk","BPP-BT100N","1990","",Biobase
"PERİSTALTİK POMPA - 0.00034-1330 ml/dk","BPP-BT300N","1590","",Biobase
"PERİSTALTİK POMPA - 0.00034-2280 ml/dk","BPP-BT60ON","2540","",Biobase
"PERİSTALTİK POMPA - 2.11-3600 ml/dk","DPP-F6-3L","2500","",Biobase
"PERİSTALTİK POMPA - 3.0-6000 ml/dk","DPP-F6-6L","3000","",Biobase
"PERİSTALTİK POMPA - 12.3-12000 ml/dk","DPP-F6-12L","4160","",Biobase
"PERİSTALTİK POMPA - 0.000067-3600 ml/dk","DPP-F6","2500","",Biobase
"PERİSTALTİK POMPA - 0.000067-2100 ml/dk","DPP-F3","2400","",Biobase
"PERİSTALTİK POMPA - 0.000067-570 ml/dk","DPP-F1","1980","",Biobase
"PERİSTALTİK POMPA - 0.00067-3600 ml/dk","DPPLab-F6","2680","",Biobase
"PERİSTALTİK POMPA - 0.000067-2100 ml/dk","DPPLab-F3","2220","",Biobase
"PERİSTALTİK POMPA - 0.000067-570 ml/dk","DPPLab-F1","1890","",Biobase
"PERİSTALTİK POMPA - 0.211-3600 ml/dk","FPP-V6-3L","2430","",Biobase
"PERİSTALTİK POMPA - 0.3-6000 ml/dk","FPP-V6-6L","2970","",Biobase
"PERİSTALTİK POMPA - 1.23-12000 ml/dk","FPP-V6-12L","4190","",Biobase
"PERİSTALTİK POMPA - 0.000067-3600 ml/dk","FPP-LabV6","2660","",Biobase
"PERİSTALTİK POMPA - 0.000067-2100 ml/dk","FPP-LabV3","2390","",Biobase
"PERİSTALTİK POMPA - 0.000067-570 ml/dk","FPP-LabV1","2090","",Biobase
"PERİSTALTİK POMPA - 0.000067-3600 ml/dk","FPP-V6","2420","",Biobase
"PERİSTALTİK POMPA - 0.000067-2100 ml/dk","FPP-V3","2120","",Biobase
"PERİSTALTİK POMPA - 0.000067-570 ml/dk","FPP-V1","2120","",Biobase
"PERİSTALTİK POMPA - Tek Kanallı","CPP-EM1","770","",Biobase
"PERİSTALTİK POMPA - Çift Kanallı","CPP-EM2","770","",Biobase
"PERİSTALTİK POMPA - Tek Kanallı","CPP-SP1","580","",Biobase
"PERİSTALTİK POMPA - Çift Kanallı","CPP-SP2","580","",Biobase
"AZOT PROTEİN TAYİN CİHAZI - Yarı otomatik + yaş yakma ünitesi (8'li)","BKN-983","8830","",Biobase
"AZOT PROTEİN TAYİN CİHAZI - Yarı otomatik + yaş yakma ünitesi (20'li)","BKN-987","40300","",Biobase
"SPEKTROFOTOMETRE - UV Tek Işınlı","BK-UV1800PC","7750","",Biobase
"SPEKTROFOTOMETRE - UV/VIS Tek Işınlı","BK-S39","11410","",Biobase
"SPEKTROFOTOMETRE - UV/VIS Çift Işınlı","BK-D590","17020","",Biobase
"SPEKTROFOTOMETRE - VIS Tek Işınlı","BK-V1200","1920","",Biobase
"SPEKTROFOTOMETRE - VIS Tek Işınlı","BK-V1600PC","3060","",Biobase
"SPEKTROFOTOMETRE - UV/VIS Tek Işınlı","BK-UV1600PC","5780","",Biobase
"ELISA MİKRO PLAKA OKUYUCU - Tam Otomatik","BIOBASE-EL10A","5830","",Biobase
"ELISA MİKRO PLAKA YIKAYICI - 48/96 Oyuklu Otomatik","BIOBASE-MW9621","4680","",Biobase
"ALEV FOTOMETRESİ","BK-FP640","3690","",Biobase
"ALEV FOTOMETRESİ","BK-FP6410","4910","",Biobase
"ALEV FOTOMETRESİ","BK-FP6430","6410","",Biobase
"ALEV FOTOMETRESİ","BK-FP6431","7750","",Biobase
"ALEV FOTOMETRESİ","BK-FP6450","9120","",Biobase
"ATOMİK ABSORPSİYON - 190-900nm","BK-AA320N","26040","",Biobase
"ATOMİK ABSORPSİYON - 190-900nm","BK-AA4530F","49770","",Biobase
"FREEZE DRYER - MASAÜSTÜ 1.2 Litre Standart Odalı","BK-FD10S","7430","",Biobase
"FREEZE DRYER - MASAÜSTÜ 1.2 Litre 8 Port Stoperli Odalı","BK-FD10P","8590","",Biobase
"FREEZE DRYER - MASAÜSTÜ 0.9 Litre Standart Odalı","BK-FD10T","8090","",Biobase
"FREEZE DRYER - MASAÜSTÜ 0.9 Litre 8 Port Stoperli Odalı","BK-FD10PT","9970","",Biobase
"FREEZE DRYER - DİKEY TİP 1.8 Litre Standart Odalı","BK-FD12S","8440-12770","",Biobase
"FREEZE DRYER - DİKEY TİP 1.8 Litre 8 Port Stoperli Odalı","BK-FD12P","10590-15160","",Biobase
"FREEZE DRYER - DİKEY TİP 0.9 Litre Standart Odalı","BK-FD12T","8890-13360","",Biobase
"FREEZE DRYER - DİKEY TİP 0.9 Litre 8 Port Stoperli Odalı","BK-FD12PT","12090-16610","",Biobase
"FREEZE DRYER - DİKEY TİP 1.8 Litre Standart Odalı","BK-FD18S","12850-18030","",Biobase
