Ürün Adı,Ürün Kodu,Fiyat (USD),CAS Numarası,Marka
"MEZÜR - (UN İÇİN) SEDİM TÜPÜ ŞİLİFLİ 100 ml","SH-45-101","12.72","",Saha Lab
"MEZÜR - özel toprak analiz için 1130ml-1205 ml","SH-45-102","33.26","",Saha Lab
"PİPET - Otomatik Başlığı 1 ml","SH-54-001","22.3","",Saha Lab
"PİPET - Otomatik Başlığı 2 ml","SH-54-002","22.3","",Saha Lab
"PİPET - Otomatik Başlığı 5 ml","SH-54-005","22.3","",Saha Lab
"PİPET - Otomatik Başlığı 10 ml","SH-54-010","22.3","",Saha Lab
"PİPET - Otomatik Başlığı 25 ml","SH-54-025","22.3","",Saha Lab
"PİPET - Otomatik Başlığı 50 ml","SH-54-050","22.3","",Saha Lab
"PİPET - Otomatik Başlığı 100 ml","SH-54-100","29.51","",Saha Lab
"PİPET - Dereceli 1 ml","SH-53-01","1.33","",Saha Lab
"PİPET - Dereceli 2 ml","SH-53-02","1.33","",Saha Lab
"PİPET - Dereceli 5 ml","SH-53-05","1.47","",Saha Lab
"PİPET - Dereceli 10 ml","SH-53-10","1.55","",Saha Lab
"PİPET - Dereceli 25 ml","SH-53-25","2.66","",Saha Lab
"PİPET - Bullu tek çizgili 10 ml","SH-52-010","5.96","",Saha Lab
"PİPET - Bullu tek çizgili 11 ml","SH-52-011","5.96","",Saha Lab
"PİPET - Bullu tek çizgili 20 ml","SH-52-020","6.58","",Saha Lab
"PİPET - Bullu tek çizgili 25 ml","SH-52-025","6.76","",Saha Lab
"PİPET - Bullu tek çizgili 50 ml","SH-52-050","8.26","",Saha Lab
"PİPET - Bullu tek çizgili 100 ml","SH-52-100","13.67","",Saha Lab
"PİKNOMETRE - S & H Glass 5 ml","SH-47-005","8.69","",Saha Lab
"PİKNOMETRE - S & H Glass 10 ml","SH-47-010","9.12","",Saha Lab
"PİKNOMETRE - S & H Glass 25 ml","SH-47-025","9.28","",Saha Lab
"PİKNOMETRE - S & H Glass 50 ml","SH-47-050","9.86","",Saha Lab
"PİKNOMETRE - S & H Glass 100 ml","SH-47-100","13.34","",Saha Lab
"PİKNOMETRE - S & H Glass 250 ml","SH-47-250","18.48","",Saha Lab
"PİKNOMETRE - S & H Glass 500 ml","SH-47-500","23.12","",Saha Lab
"PİKNOMETRE - S & H Glass 1000ml","SH-47-1000","36.46","",Saha Lab
"PİKNOMETRE - S & H Glass 2000ml","SH-47-2000","62.57","",Saha Lab
"PİKNOMETRE - Hunili 500ml","SH-ÖZEL İML.","37.52","",Saha Lab
"PİKNOMETRE - Hunili 1000ml","SH-ÖZEL İML.","49.55","",Saha Lab
"PİKNOMETRE - Hunili 2000ml","SH-ÖZEL İML.","63.19","",Saha Lab
"PİKNOMETRE - Hunili 3000ml","SH-ÖZEL İML.","85.44","",Saha Lab
"PİKNOMETRE - Hunili 5000ml","SH-ÖZEL İML.","144.98","",Saha Lab
"SOĞUTUCU - Düz şilifsiz 300 mm","SH-101-300","14.89","",Saha Lab
"SOĞUTUCU - Düz şilifsiz 400 mm","SH-101-400","17.88","",Saha Lab
"SOĞUTUCU - Düz şilifsiz 500 mm","SH-101-500","19.97","",Saha Lab
"SOĞUTUCU - Düz tek ucu şilifli 300 mm","SH-101-1-300","18.28","",Saha Lab
"SOĞUTUCU - Düz tek ucu şilifli 400 mm","SH-101-1-400","18.74","",Saha Lab
"SOĞUTUCU - Düz tek ucu şilifli 500 mm","SH-101-1-500","20.83","",Saha Lab
"SOĞUTUCU - Düz iki ucu şilifli 300 mm","SH-101-2-300","19.97","",Saha Lab
"SOĞUTUCU - Düz iki ucu şilifli 400 mm","SH-101-2-400","23.92","",Saha Lab
"SOĞUTUCU - Düz iki ucu şilifli 500 mm","SH-101-2-500","28.34","",Saha Lab
"SOĞUTUCU - Bullu şilifsiz 300 mm","SH-103-300","15.14","",Saha Lab
"SOĞUTUCU - Bullu şilifsiz 400 mm","SH-103-400","18.06","",Saha Lab
"SOĞUTUCU - Bullu şilifsiz 500 mm","SH-103-500","19.97","",Saha Lab
"SOĞUTUCU - Bullu tek ucu şilifli 300 mm","SH-103-01-300","20.83","",Saha Lab
"SOĞUTUCU - Bullu tek ucu şilifli 400 mm","SH-103-01-400","23.1","",Saha Lab
"SOĞUTUCU - Bullu tek ucu şilifli 500 mm","SH-103-01-500","24.56","",Saha Lab
"SOĞUTUCU - Bullu iki ucu şilifli 300 mm","SH-103-2-300","25","",Saha Lab
"SOĞUTUCU - Bullu iki ucu şilifli 400 mm","SH-103-2-400","27.24","",Saha Lab
"SOĞUTUCU - Bullu iki ucu şilifli 500 mm","SH-103-2-500","28.8","",Saha Lab
"SOĞUTUCU - Spiralli şilifsiz 300 mm","SH-102-300","20.83","",Saha Lab
"SOĞUTUCU - Spiralli şilifsiz 400 mm","SH-102-400","25","",Saha Lab
"SOĞUTUCU - Spiralli şilifsiz 500 mm","SH-102-500","29.23","",Saha Lab
"SOĞUTUCU - Spiralli tek ucu şilifli 300 mm","SH-102-01-300","27.56","",Saha Lab
"SOĞUTUCU - Spiralli tek ucu şilifli 400 mm","SH-102-01-400","33.42","",Saha Lab
"SOĞUTUCU - Spiralli tek ucu şilifli 500 mm","SH-102-01-500","36.12","",Saha Lab
"SOĞUTUCU - Spiralli iki ucu şilifli 300 mm","SH-102-2-300","33.43","",Saha Lab
"SOĞUTUCU - Spiralli iki ucu şilifli 400 mm","SH-102-2-400","37.63","",Saha Lab
"SOĞUTUCU - Spiralli iki ucu şilifli 500 mm","SH-102-2-500","41.82","",Saha Lab
"SOKSİLET APARATI - Extraktörü 100 ml","SH-104-100","38.86","",Saha Lab
"SOKSİLET APARATI - Extraktörü 150 ml","SH-104-150","40.49","",Saha Lab
"SOKSİLET APARATI - Extraktörü 250 ml","SH-104-250","52.56","",Saha Lab
"SOKSİLET APARATI - Extraktörü 500 ml","SH-104-500","81.37","",Saha Lab
"SOKSİLET APARATI - Soğutucusu Bullu NS 45/40 300 mm","SH-104-300","52.56","",Saha Lab
"SOKSİLET APARATI - cihazı cam takım 250 ml","SH-104-251","103.84","",Saha Lab
"ŞİŞE - B.O.D. 300 ml","SH-30-300","10.16","",Saha Lab
"ŞİŞE - Otoklav şişesi Pyreks Boro 3.3 100 ml","SH-31-100","4.22","",Saha Lab
"ŞİŞE - Otoklav şişesi Pyreks Boro 3.3 250 ml","SH-31-250","4.83","",Saha Lab
"ŞİŞE - Otoklav şişesi Pyreks Boro 3.3 500 ml","SH-31-500","6.82","",Saha Lab
"ŞİŞE - Otoklav şişesi Pyreks Boro 3.3 1000 ml","SH-31-1000","10.17","",Saha Lab
"ŞİŞE - Otoklav şişesi Pyreks Boro 3.3 2000 ml","SH-31-2000","22.63","",Saha Lab
"ŞİŞE - Otoklav şişesi Pyreks Boro 3.3 3000 ml","SH-31-3000","60.28","",Saha Lab
"ŞİŞE - Otoklav şişesi Pyreks Boro 3.3 5000 ml","SH-31-5000","81.28","",Saha Lab
"ŞİŞE - Otoklav şişesi Pyreks Boro 3.3 10000 ml","SH-31-1001","155.25","",Saha Lab
"ŞİŞE - Otoklav şişesi Pyreks Boro 3.4 20000 ml","SH-31-1002","342.7","",Saha Lab
"ŞİŞE - Otoklav şişesi ithal Amber 100 ml","SH-31-Amber","7.3","",Saha Lab
"ŞİŞE - Otoklav şişesi ithal Amber 250 ml","SH-31-Amber","9.41","",Saha Lab
"ŞİŞE - Otoklav şişesi ithal Amber 500 ml","SH-31-Amber","12.5","",Saha Lab
"ŞİŞE - Otoklav şişesi ithal Amber 1000 ml","SH-31-Amber","20.84","",Saha Lab
"ŞİŞE - Otoklav şişesi ithal Amber 2000 ml","SH-31-Amber","48.46","",Saha Lab
"ŞİŞE - Amber renkli şişe rodajlı (otom.pipet deposu) 1000 ml","SH-153-1000","11.55","",Saha Lab
"ŞİŞE - Amber renkli şişe rodajlı (otom.büret deposu) 2000 ml","SH-153-2000","17.91","",Saha Lab
"TÜP - Deney dibi yuvarlak 1275","SH-40-12075","0.045","",Saha Lab
"TÜP - Deney dibi yuvarlak 10100","SH-40-10100","0.054","",Saha Lab
"TÜP - Deney dibi yuvarlak 13100","SH-40-13100","0.056","",Saha Lab
"TÜP - Deney dibi yuvarlak 16100","SH-40-16100","0.099","",Saha Lab
"TÜP - Deney dibi yuvarlak 16160","SH-40-16160","0.133","",Saha Lab
"TÜP - Deney dibi yuvarlak 18180","SH-40-18180","0.185","",Saha Lab
"TÜP - Deney dibi yuvarlak 25150","SH-40-25150","0.381","",Saha Lab
"TÜP - Deney dibi yuvarlak vida kapaklı 16100","SH-40-16100-V","0.401","",Saha Lab
"TÜP - Deney dibi yuvarlak vida kapaklı 16160","SH-40-16160-V","0.417","",Saha Lab
"TÜP - Deney dibi yuvarlak vida kapaklı 18180","SH-40-18180-V","0.52","",Saha Lab
"TÜP - Deney dibi yuvarlak vida kapaklı 20150","SH-40-20150-V","0.47","",Saha Lab
"TÜP - Durhaim 640","SH-40-0640","0.32","",Saha Lab
"TÜP - Deney dibi konik santrifüj için dereceli 16100","SH-40-16100-D","0.72","",Saha Lab
"TÜP - Deney Dibi Konik Santrifüj için 16100","SH-40-16100-K","0.3","",Saha Lab
"TÜP - Kjeldahl 42300mm","SH-40-42300","19","",Saha Lab
"VEZİN KABI - 3030","SH-26-3030","5.5","",Saha Lab
"VEZİN KABI - 4040","SH-26-4040","9.16","",Saha Lab
"VEZİN KABI - 5030","SH-26-5030","9.92","",Saha Lab
"VEZİN KABI - 6030","SH-26-6030","10.84","",Saha Lab
"VEZİN KABI - 7035","SH-26-7035","12.82","",Saha Lab
"VEZİN KABI - 8040","SH-26-8040","15.58","",Saha Lab
"CAM HAVAN ve ELİ - 100 mm","SH-148-100","5.55","",Saha Lab
"CAM HAVAN ve ELİ - 120 mm","SH-148-120","10.34","",Saha Lab
"CAM HAVAN ve ELİ - 150 mm","SH-148-150","14.4","",Saha Lab
"CAM HAVAN ve ELİ - 180 mm","SH-148-180","19.65","",Saha Lab
"ÖZEL CAM KAP (REFLUKS) - beton asfalt vs için 220460mm","SH-ÖZEL","138.21","",Saha Lab
"SARF - Amyant tel 120 mm","SH-149-120","2.25","",Saha Lab
"SARF - Amyant tel 160 mm","SH-149-160","2.54","",Saha Lab
"SARF - Agat Havan ve Eli 50mm","SH-200-050","84.79","",Saha Lab
"SARF - Agat Havan ve Eli 80mm","SH-200-080","181.06","",Saha Lab
"SARF - Agat Havan ve Eli 100mm","SH-200-100","302.5","",Saha Lab
"SARF - Asit Tabancası","SH-176-03","10.87","",Saha Lab
"SARF - Büret standı (dikdörtgen ayaklı)","SH-124-01","21.94","",Saha Lab
"SARF - Büret standı (üçgen ayaklı)","SH-124-02","23.12","",Saha Lab
"SARF - Bunzen Beki (tüp gaz, dogalgaz)","SH-128-01-02","27.83","",Saha Lab
"SARF - Beher Maşası","SH-202-275","7.75","",Saha Lab
"SARF - Cam Kapak 14,5/23","SH-177-01","3","",Saha Lab
"SARF - Cam Kapak 19/26","SH-177-02","3","",Saha Lab
"SARF - Cam Kapak 29/32","SH-177-03","4.52","",Saha Lab
"SARF - Cam Kapak 45/40","SH-177-04","11.93","",Saha Lab
"SARF - Cam malzeme kurutma standı 30/25","SH-151-01","70.09","",Saha Lab
"SARF - Cam Pastör Pipeti 250 'lik pkt 150mm","SH-211-150","21.94","",Saha Lab
"SARF - Cam Pastör Pipeti 250 'lik pkt 230mm","SH-211-230","23.75","",Saha Lab
"SARF - Filitre Kağıdı Mavi Bant 125mm","SH-126-103","11.55","",Saha Lab
"SARF - Filitre Kağıdı Siyah Bant 125mm","SH-126-101","11.55","",Saha Lab
"SARF - Filitre Kağıdı Beyaz Bant 125mm","SH-126-102","11.55","",Saha Lab
"SARF - Fırça küçük (tüp için)","SH-152-02","1.94","",Saha Lab
"SARF - Fırça büyük (balon, mezür v.s)","SH-152-01","6.37","",Saha Lab
"SARF - Fırça uzun (Büret için)","SH-152-03","4.44","",Saha Lab
"SARF - Guko Seti","SH-213-001","14.72","",Saha Lab
"SARF - Halka demir nivolu 6cm-7cm-10cm","SH-169-01-02-03","4.23","",Saha Lab
"SARF - Hematocrit tüpü heparinli","SH-127-01","2.55","",Saha Lab
"SARF - Hortum Laboratuvar için 812","SH-201-812","10.42","",Saha Lab
"SARF - Kıskaç üç ağızlı Büyük","SH-122-01","12.47","",Saha Lab
"SARF - Kıskaç üç ağızlı Nivolu Büyük","SH-122-02","23.89","",Saha Lab
"SARF - Kıskaç üç ağızlı Nivolu Küçük","SH-122-03","19.38","",Saha Lab
"SARF - Kil Üçgen","SH-146-01","2.1","",Saha Lab
"SARF - Kristalizuar 140mm","SH-38-02","12.83","",Saha Lab
"SARF - Küvet Quartz macro 10mm-3,5ml","SH-QUARTZ-01","72.5","",Saha Lab
"SARF - Küvet Cam macro 10mm - 3,5ml","SH-CAM-01","7.4","",Saha Lab
"SARF - Küvet Quartz semi micro 10mm 1.4ml","SH-QUARTZ-02","110","",Saha Lab
"SARF - Küvet Cam semi micro 10mm 1.4ml","SH-CAM-02","48","",Saha Lab
"SARF - Küvet Quartz micro 0.5ml 1ml","SH-QUARTZ-03","110","",Saha Lab
"SARF - Küvet Quartz 20mm -7ml","SH-QUARTZ-04","101","",Saha Lab
"SARF - Küvet Cam 20mm -7ml","SH-CAM-03","22","",Saha Lab
"SARF - Küvet Cam 30mm 10,5ml","SH-CAM-04","22","",Saha Lab
"SARF - Küvet Quartz 30mm 10.5ml","SH-QUARTZ-05","101","",Saha Lab
"SARF - Küvet Cam 40mm 14ml","SH-CAM-05","20","",Saha Lab
"SARF - Küvet Cam 50mm 17.5ml","SH-CAM-06","26","",Saha Lab
"SARF - Küvet Quartz 50mm 17.5ml","SH-QUARTZ-06","131","",Saha Lab
"SARF - Küvet Cam 100mm 35ml","SH-CAM-07","67.81","",Saha Lab
"SARF - Kroze maşası Küçük 250mm","SH-125-01","7.98","",Saha Lab
"SARF - Kroze maşası Orta 300mm","SH-125-02","10","",Saha Lab
"SARF - Kroze maşası Büyük 450mm","SH-125-03","20.45","",Saha Lab
"SARF - Laboratuvar Krikosu 150mm","SH-129-01","64.19","",Saha Lab
"SARF - Laboratuvar Krikosu 200mm","SH-129-02","71.66","",Saha Lab
"SARF - Mantar Balon Stantı 50-100ml","SH-209-100","6.54","",Saha Lab
"SARF - Mantar Balon Stantı 250ml","SH-209-250","9.26","",Saha Lab
"SARF - Mantar Balon Stantı 500ml","SH-209-500","11.9","",Saha Lab
"SARF - Mantar Balon Stantı 1000ml","SH-209-1000","14.17","",Saha Lab
"SARF - Mantar delme seti","SH-138-01","46.2","",Saha Lab
"SARF - Manyetik Balık 610mm","SH-136-10","1.43","",Saha Lab
"SARF - Manyetik Balık 615mm","SH-136-15","1.66","",Saha Lab
"SARF - Manyetik Balık 620mm","SH-136-20","1.79","",Saha Lab
"SARF - Manyetik Balık 630mm","SH-136-30","2.36","",Saha Lab
"SARF - Manyetik Balık 740mm","SH-136-40","3.25","",Saha Lab
"SARF - Manyetik Balık 850mm","SH-136-50","5.23","",Saha Lab
"SARF - Manyetik Balık 1060mm","SH-136-60","5.84","",Saha Lab
"SARF - Manyetik Balık 1070mm","SH-136-70","9","",Saha Lab
"SARF - Manyetik Balık 1080mm","SH-136-80","11.74","",Saha Lab
"SARF - Manyetik Balık Tutucu","SH-203-250","13.51","",Saha Lab
"SARF - Membran Şırınga Filtre Uçu 100'lük pkt. 0,45PES Mavi","SH-199-001","29","",Saha Lab
"SARF - Membran Şırınga Filtre Uçu 100'lük pkt. 0,22Nylon Yeşil","SH-199-004","29","",Saha Lab
"SARF - Membran Şırınga Filtre Uçu 100'lük pkt. 0,45Nylon Beyaz","SH-199-005","29","",Saha Lab
"SARF - Membran Şırınga Filtre Uçu 100'lük pkt. 0,45RC Turuncu","SH-199-009","34","",Saha Lab
"SARF - Membran Şırınga Filtre Uçu 100'lük pkt. 0,45PVDF Mor","SH-199-010","34","",Saha Lab
"SARF - Membran Şırınga Filtre Uçu 100'lük pkt. 0,20MCE Sarı","SH-199-011","29","",Saha Lab
"SARF - Nivo ara parçası 11 cm","SH-121-016","1.27","",Saha Lab
"SARF - Plastik Erlen vida kapaklı 250ml","SH-PLS-13-250","7.02","",Saha Lab
"SARF - Plastik Erlen vida kapaklı 500ml","SH-PLS-13-500","9.79","",Saha Lab
"SARF - Plastik Ependorf Tüpü 500'lük pş. 1,5 ml","SH-PLS-01-15","8.91","",Saha Lab
"SARF - Plastik Pastör Pipeti 500'lük pş. 3 ml","SH-PLS-05-3","20.01","",Saha Lab
"SARF - Plastik Pipet Ucu Sarı 1000'lik pş. 200ul","SH-PLS-08-200","5.73","",Saha Lab
"SARF - Plastik Pipet Ucu Mavi 500'lük pş. 1000ul","SH-PLS-04-1000","6.84","",Saha Lab
"SARF - Plastik Pipet Ucu Beyaz 250'lik pş. 5000ul","SH-PLS-15-5000","28.29","",Saha Lab
"SARF - Plastik Pipet Ucu Beyaz 100'lük pş. 10000ul","SH-PLS-15-0001","35.81","",Saha Lab
"SARF - Plastik Falcon Tüpü 15ml","SH-PLS-02-15","0.191","",Saha Lab
"SARF - Plastik Falcon Tüpü 50ml","SH-PLS-02-50","0.304","",Saha Lab
"SARF - Plastik Balon joje 25ml","SH-PLS-10-025","2.75","",Saha Lab
"SARF - Plastik Balon joje 50ml","SH-PLS-10-050","3.32","",Saha Lab
"SARF - Plastik Balon joje 100ml","SH-PLS-10-100","4.14","",Saha Lab
"SARF - Plastik Balon joje 250ml","SH-PLS-10-250","5","",Saha Lab
"SARF - Plastik Balon joje 500ml","SH-PLS-10-500","6.66","",Saha Lab
"SARF - Plastik Balon joje 1000ml","SH-PLS-10-1000","9.94","",Saha Lab
"SARF - Plastik Beher kısa form 25ml","SH-PLS-11-025","0.35","",Saha Lab
"SARF - Plastik Beher kısa form 50ml","SH-PLS-11-050","0.61","",Saha Lab
"SARF - Plastik Beher kısa form 100ml","SH-PLS-11-100","0.71","",Saha Lab
"SARF - Plastik Beher kısa form 250ml","SH-PLS-11-250","1.29","",Saha Lab
"SARF - Plastik Beher kısa form 500ml","SH-PLS-11-500","1.68","",Saha Lab
"SARF - Plastik Beher kısa form 1000ml","SH-PLS-11-1000","2.93","",Saha Lab
"SARF - Plastik Beher kısa form 2000ml","SH-PLS-11-2000","8.64","",Saha Lab
"SARF - Plastik Beher kısa form kulplu 250ml","SH-PLS-11K-250","3.2","",Saha Lab
"SARF - Plastik Beher kısa form kulplu 500ml","SH-PLS-11K-500","4.34","",Saha Lab
"SARF - Plastik Beher kısa form kulplu 1000ml","SH-PLS-11K-100","6.28","",Saha Lab
"SARF - Plastik Beher kısa form kulplu 2000ml","SH-PLS-11K-200","10.75","",Saha Lab
"SARF - Plastik Beher kısa form kulplu 3000ml","SH-PLS-11K-300","19.75","",Saha Lab
"SARF - Plastik Beher kısa form kulplu 5000ml","SH-PLS-11K-500","23.91","",Saha Lab
"SARF - Plastik Mezür uzun form 10ml","SH-PLS-09-010","1.53","",Saha Lab
"SARF - Plastik Mezür uzun form 25ml","SH-PLS-09-025","1.68","",Saha Lab
"SARF - Plastik Mezür uzun form 50ml","SH-PLS-09-050","1.89","",Saha Lab
"SARF - Plastik Mezür uzun form 100ml","SH-PLS-09-100","2.4","",Saha Lab
"SARF - Plastik Mezür uzun form 250ml","SH-PLS-09-250","4.68","",Saha Lab
"SARF - Plastik Mezür uzun form 500ml","SH-PLS-09-500","8.73","",Saha Lab
"SARF - Plastik Mezür uzun form 1000ml","SH-PLS-09-1000","9.75","",Saha Lab
"SARF - Plastik Mezür uzun form 2000ml","SH-PLS-09-2000","31.98","",Saha Lab
"SARF - Plastik Huni 50mm","SH-PLS-12-050","0.87","",Saha Lab
"SARF - Plastik Huni 70mm","SH-PLS-12-070","1.29","",Saha Lab
"SARF - Plastik Huni 90mm","SH-PLS-12-090","2.08","",Saha Lab
"SARF - Plastik Huni 100mm","SH-PLS-12-100","2.52","",Saha Lab
"SARF - Plastik Huni 120mm","SH-PLS-12-120","2.52","",Saha Lab
"SARF - Plastik Huni 150mm","SH-PLS-12-150","3.06","",Saha Lab
"SARF - Plastik Piset 100ml","SH-PLS-06-100","2.5","",Saha Lab
"SARF - Plastik Piset 250 ml","SH-PLS-06-250","2.81","",Saha Lab
"SARF - Plastik Piset 500 ml","SH-PLS-06-500","4.82","",Saha Lab
"SARF - Plastik Piset 1000 ml","SH-PLS-06-1000","8.22","",Saha Lab
"SARF - Plastik Pipet Stantı Yatay","SH-PLS-14-01","10.9","",Saha Lab
"SARF - Plastik Pipet Stantı Döner Tab.","SH-PLS-14-02","15.21","",Saha Lab
"SARF - Ph Kağıdı 0-14","SH-205-014","12.22","",Saha Lab
"SARF - Porselen Kroze 101/35","SH-130-01","2.91","",Saha Lab
"SARF - Porselen Buhner hunisi 100 mm","SH-144-100","13","",Saha Lab
"SARF - Porselen Buhner hunisi 120 mm","SH-144-120","13.26","",Saha Lab
"SARF - Porselen Havan ve Eli 80 mm","SH-147-080","4.76","",Saha Lab
"SARF - Porselen Havan ve Eli 100 mm","SH-147-100","5.14","",Saha Lab
"SARF - Porselen Havan ve Eli 130 mm","SH-147-130","7.37","",Saha Lab
"SARF - Porselen Havan ve Eli 160 mm","SH-147-160","12.18","",Saha Lab
"SARF - Porselen Havan ve Eli 190 mm","SH-147-190","25.15","",Saha Lab
"SARF - Porselen kapsül 50mm","SH-131-050","2.13","",Saha Lab
"SARF - Porselen kapsül 70mm","SH-131-070","2.13","",Saha Lab
"SARF - Porselen kapsül 80mm","SH-131-080","2.38","",Saha Lab
"SARF - Porselen kapsül 100mm","SH-131-100","3.36","",Saha Lab
"SARF - Porselen kapsül 125mm","SH-131-125","5.57","",Saha Lab
"SARF - Porselen Kayıkçık 72mm-1.5ml","SH-212-072","0.55","",Saha Lab
"SARF - Porselen Kayıkçık 95mm-2,5ml","SH-212-095","0.82","",Saha Lab
"SARF - Petri kabı cam 60mm","SH-41-060","1.6","",Saha Lab
"SARF - Petri kabı cam 80mm","SH-41-080","2.14","",Saha Lab
"SARF - Petri kabı cam 100 mm","SH-41-100","2.19","",Saha Lab
"SARF - Petri kabı cam 120 mm","SH-41-120","3.51","",Saha Lab
"SARF - Petri kabı cam 150 mm","SH-41-150","6.08","",Saha Lab
"SARF - Puar 3 yollu","SH-135-001","7.87","",Saha Lab
"SARF - Puar Tek yollu","SH-29-01","5.92","",Saha Lab
"SARF - Pipet Pump 2ml, 10ml, 25ml","SH-28-01","9.02","",Saha Lab
"SARF - Penset (CIMBIZ) metal 125 mm","SH-139-01","3.08","",Saha Lab
"SARF - Saat camı 70 mm","SH-25-070","0.89","",Saha Lab
"SARF - Saat camı 100 mm","SH-25-100","2.12","",Saha Lab
"SARF - Saat camı 120mm","SH-25-120","3.24","",Saha Lab
"SARF - Saat camı 150mm","SH-25-150","3.59","",Saha Lab
"SARF - Spatül metal kaşıklı 150 mm","SH-143-01","3.35","",Saha Lab
"SARF - Spatül metal iki ucu düz 180 mm","SH-141-01","2.28","",Saha Lab
"SARF - Spatül porselen beyaz","SH-142-01","5.96","",Saha Lab
"SARF - Soksilet Kartuşu 25'li pkt 2780","SH-198-2780","44","",Saha Lab
"SARF - Soksilet Kartuşu 25'li pkt 3080","SH-198-3080","44","",Saha Lab
"SARF - Soksilet Kartuşu 25'li pkt 3380","SH-198-3380","44","",Saha Lab
"SARF - Şale cam dik","SH-137-01","5.26","",Saha Lab
"SARF - Şale cam yatık","SH-137-02","5.8","",Saha Lab
"SARF - Şilif klipsi plastik NS 12/21","SH-210-1221","2.09","",Saha Lab
"SARF - Şilif klipsi plastik NS 14/23","SH-210-1423","2.17","",Saha Lab
"SARF - Şilif klipsi plastik NS 19/26","SH-210-1926","2.21","",Saha Lab
"SARF - Şilif klipsi plastik NS 24/29","SH-210-2429","2.5","",Saha Lab
"SARF - Şilif klipsi plastik NS 29/32","SH-210-2932","2.5","",Saha Lab
"SARF - Şilif klipsi plastik NS 34/35","SH-210-3435","3.17","",Saha Lab
"SARF - Şilif klipsi plastik NS 40/40","SH-210-4040","4.26","",Saha Lab
"SARF - Şilif klipsi plastik NS 45/40","SH-210-4540","4.26","",Saha Lab
"SARF - Termometre baget tipi 110 C","SH-171-01","3.34","",Saha Lab
"SARF - Termometre baget tipi 360 C","SH-171-02","5.21","",Saha Lab
"SARF - Termo- Hygrometre HTC-2","SH-171-03-H","12.2","",Saha Lab
"SARF - Alkolmetre 100 C","SH-171-03-A","4.75","",Saha Lab
"SARF - Turnusol kağıdı kırmızı kutulu","SH-150-01","2.65","",Saha Lab
"SARF - Turnusol kağıdı mavi kutulu","SH-150-02","2.65","",Saha Lab
"SARF - Tüp sporu plastik beyaz (90 Tüplük) 13 mm","SH-145-013","5.69","",Saha Lab
"SARF - Tüp sporu plastik beyaz (60 Tüplük) 16 mm","SH-145-016","5.69","",Saha Lab
"SARF - Üçayak bek için ÇELİK 125mm","SH-140-01","11.19","",Saha Lab
"SARF - Üçayak bek için ÇELİK 150mm","SH-140-02","11.64","",Saha Lab
"SARF - Vakum Filitrasyon süzme seti (titrasyon seti) tkm CAM","SH-132-01","238.73","",Saha Lab
"SARF - Vial Şeffaf 100'lük pkt. 1.5ml","SH-208-1,5","35.7","",Saha Lab
"SARF - Vial Amber 100'lük pkt. 1,5ml","SH-208-1,5A","47.45","",Saha Lab
"SARF - Vial Şeffaf 100'lük pkt. 4ml","SH-208-04","55.69","",Saha Lab
"SARF - Vial Amber 100'lük pkt. 4ml","SH-208-04A","57.51","",Saha Lab
"SARF - QUARTZ Kroze 101/35","SH-178-02","23.91","",Saha Lab
"SARF - QUARTZ Kroze (Maden için)","SH-178-03","48.15","",Saha Lab
"OTOKLAV - Masaüstü Ön Vakumlu 18 Litre","ILD-OGT-18B","3260","",İLDAM
"OTOKLAV - Masaüstü Ön Vakumlu 23 Litre","ILD-OGT-23B","3390","",İLDAM
"OTOKLAV - Masaüstü Ön Vakumlu 32 Litre","ILD-OGT-32B","4500","",İLDAM
"OTOKLAV - Dikey Ön Vakumlu 50 Litre","ILD-NC-50M","6990","",İLDAM
"OTOKLAV - Dikey Ön Vakumlu 75 Litre","ILD-NC-75M","8340","",İLDAM
"OTOKLAV - Dikey Ön Vakumlu 100 Litre","ILD-NC-100M","9450","",İLDAM
"OTOKLAV - Dikey Ön Vakumlu 120 Litre","ILD-NC-120M","10140","",İLDAM
"ETÜV - Fan Sirkülasyonlu 30 Litre","ILD-EKH-30","1100","",İLDAM
"ETÜV - Fan Sirkülasyonlu 55 Litre","ILD-EKH-55","1150","",İLDAM
"ETÜV - Fan Sirkülasyonlu 120 Litre","ILD-EKH-120","1350","",İLDAM
"ETÜV - Fan Sirkülasyonlu 250 Litre","ILD-EKH-250","2100","",İLDAM
"ETÜV - Fan Sirkülasyonlu 500 Litre","ILD-EKH-500","4350","",İLDAM
"ETÜV - Fan Sirkülasyonlu 750 Litre","ILD-EKH-750","5550","",İLDAM
"ETÜV - Vakumlu 30 Litre","ILD-EVK-30","2260","",İLDAM
"ETÜV - Vakumlu 50 Litre","ILD-EVK-50","3250","",İLDAM
"ETÜV - Vakumlu 90 Litre","ILD-EVK-90","6400","",İLDAM
"ETÜV - Vakumlu 215 Litre","ILD-EVK-215","10550","",İLDAM
"ETÜV - Vakumlu 90 Litre (Dijital)","ILD-EVK-90VL","9810","",İLDAM
"ETÜV - Vakumlu 215 Litre (Dijital)","ILD-EVK-215VL","13550","",İLDAM
"TEST KABİNİ - İklimlendirme (0°C/+65°C) 120 Litre","İTK-120","5830","",İLDAM
"TEST KABİNİ - İklimlendirme (0°C/+65°C) 250 Litre","İTK-250","6410","",İLDAM
